transaction_id,posted_date,category,description,transaction_type,shipment_id,cost_usd
oPJ21aOpbn51oy3ZA8vcFqviD-0Pd7fRaaNayVSYdI8,2026-03-09T04:25:19Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA198NXJD7N,25.72
B6m7h6KQPcw5OAkDiJG8_PlxfOCJPy7sX_NZtckE4WE,2026-03-07T20:20:33Z,storage,FBAStorageBilling,ServiceFee,,18.41
pbl2RdFYQqLTEbmPWYihGAxsDHhDrc-m7-B-92w-Sx8,2026-02-26T15:14:27Z,placement,FBAInboundConvenience,ServiceFee,FBA195N82J1M,57.89
7sKsSFHwHR-GatGEdhYw0oAP6hndk8xm780zWxPFUls,2026-02-26T15:13:33Z,placement,FBAInboundConvenience,ServiceFee,FBA195N82J1M,6.82
zYszBvTdwU3OJ16VMZXpoll6slIWpo3GRgCgEvJHSb0,2026-02-25T15:13:47Z,placement,FBAInboundConvenience,ServiceFee,FBA195N7MQKC,3.12
cihgk-cu9-77qQPsXrMVBi0Xg1oaQmZO-VhSIrHgVjw,2026-02-19T18:34:03Z,aged,FBALongTermStorageBilling,ServiceFee,,38.65
NjKgpkdEEkX03e8TYVy91TTve714eV7VlIqtIEno1iE,2026-02-16T17:47:06Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA197SVNSVG,95.95
ApBpy1Nyvdr8hFkGwX0amraofK7YKc9eN25bMovt_SY,2026-02-11T00:13:24Z,placement,FBAInboundConvenience,ServiceFee,FBA1954T2D8T,24.22
lx-5BC8rW-8JtxphszRv1K6nKQ5QOO7ZaPTOYquPGJ0,2026-02-10T00:45:18Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA197KFC6S3,10.88
kBcIqRZ5DORY4I5vxI3Ak1NEZTXvHHLapUIXMtrno34,2026-02-07T08:46:46Z,storage,FBAStorageBilling,ServiceFee,,18.78
GGbcLsPi6nEYQct3jUp-4rzXlt5lH5xH_b6eJIv4_-M,2026-08-22T09:28:34Z,placement,FBAInboundConvenience,ServiceFee,FBA19H2820Z4,43.98
auwE8Xyez3MmGkO4SnGrjTljrt7kqa5HNM-O6qku0os,2026-08-19T13:23:50Z,aged,FBALongTermStorageBilling,ServiceFee,,44.33
E2HynlHx5WyjMWhkGEKjUO5tayZ3sEdIroKo1bvxBro,2026-08-18T13:58:53Z,storage,FBAStorageBilling,ServiceFee - Correction,,15.46
hZyriM3sX-oXYfnFgQ5EJp-D-MeOincfh_6XdTkIeQI,2026-08-18T13:58:53Z,storage,FBAStorageBilling,ServiceFee - Reversal,,-15.48
Gtsloub9eI7M-zLMdZAfS_dzkp7FuyFpsbKPKsF0_w8,2026-08-14T03:14:09Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19LMC4ZJF,21.46
U8om64RQPS_8joEE2HzZvRkMU66cWy7GvUfUEelAl1A,2026-08-07T12:17:06Z,storage,FBAStorageBilling,ServiceFee,,13.54
Q0XQ2bYXsuGvutTmWnPZawG1qOejlnon5CnprEiBEqk,2026-08-02T22:55:12Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19KM982VB,23.15
LmCuh68OIJmfMh_lhZSh6Es-T3_j7gMhaHM9sFIle28,2026-07-28T19:16:09Z,placement,FBAInboundConvenience,ServiceFee,FBA19F55XZJG,39.0
Vyu57o3gbenC2svDubooOahqo2Bf6i6izmJfXn0uoVU,2026-07-24T04:15:46Z,placement,FBAInboundConvenience,ServiceFee,FBA19F8YW7CV,15.7
hI5AWWojAM-VExUEx3VEDLmZ5DFgdXl61PowyRTdWoY,2026-07-24T04:14:33Z,placement,FBAInboundConvenience,ServiceFee,FBA19F8YW7CV,31.24
6XU3R9HWLsVbp1gDNf0wOQqPEERWUKKfIxq7CgOABlk,2026-07-22T21:03:42Z,carrier,FBAPostInboundTransportation,ServiceFee,FBA19JS2S8FS,50.14
xTsK5d3r58iuNSdRe1Oj2ip6sGJYSwIelQebSTQQSTg,2026-07-19T13:56:59Z,aged,FBALongTermStorageBilling,ServiceFee,,27.87
sFIkYfxGzbtN2ZBuWOp-_Zo9TcWUPXW3Wyvu8ECIaAk,2026-07-07T14:06:35Z,storage,FBAStorageBilling,ServiceFee,,16.13
JseuZd2C084BsYn5n0JxT4kUj9BqJyC37eCkjeiVxwM,2026-07-03T10:20:43Z,placement,FBAInboundConvenience,ServiceFee,FBA199D5JYNB,0.16
