rank,action_id,action_date,dismiss_reason,dismissal_note,asin,amazon_title,amazon_system,ebay_item_id,ebay_title,ebay_condition,ebay_category,ebay_category_ids,seller_username,detected_ebay_platform,game_name,region_code,format,type,features,release_year,stored_recommendation,current_recommendation,current_hard_blocks,current_warnings,pattern,rule_miss_class,evidence_dependency,opportunity_id,candidate_id,snapshot_id
21,a96b675f-eb66-41e6-9837-7d837679dd71,2026-08-01T04:21:13.032633+00:00,suspected_reseal,,B004CDUOJ8,Madden NFL Football 3DS,,v1|188589742774|0,Nintendo 3DS John MADDEN NFL Football New MINT Factory Sealed Game CIB,Brand New,Video Games; Video Games & Consoles,139973; 1249,jonebone7,3DS,Madden NFL Football,Japan,,,,,Probable Match,Probable Match,,,suspected_reseal,evidence exists only in images,description,aed753ac-97ca-444e-a0dd-7d8c0f9f91fb,76abbd8f-fd6d-411e-be7f-9745719ab908,a3eaccbb-ec21-4812-a16e-ad1e9d6d4a8c
22,2d405f5b-801c-4bb4-9ca7-f25951a49981,2026-08-01T04:20:50.87362+00:00,wrong_product,,B0056C2LIG,Wii Play Motion (Nintendo Wii),,v1|377182072404|0,Go Play Lumberjacks - Wii - Action/Adventure Game - W/ User Manual,Brand New,Video Games; Video Games & Consoles,139973; 1249,nervaz-67,Wii,Go Play Lumberjacks,,,,,,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,d461f9c6-e875-415e-8818-f877c8c69dc8,4866ecf7-0247-4e44-a42d-931c46387bed,ff4f82d9-9042-4cf0-a516-2dcdf28feab1
23,72c142d1-4788-4859-a048-c314a7b24897,2026-08-01T04:20:44.454345+00:00,sales_velocity_too_low,,B0098F1Y3K,Brain Age: Concentration Training,,v1|407109878578|0,Nintendo Brain Age: Concentration Training 3DS NTSC-U/C 2012 -Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,su200606,3DS,Brain Age: Concentration Training,NTSC-U/C (US/Canada),,,,2012,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,d7c619a9-443f-4aa3-b7b4-662255873845,d263c166-8fcd-417b-9e9a-199b902ace13,8fb0c165-5768-43fb-b785-bb3efc2bb586
24,0de6e3e9-1d28-4276-af17-dcd94dbb1025,2026-08-01T03:15:39.401109+00:00,wrong_platform,,B002I0IUM0,LEGO Star Wars III: The Clone Wars,,v1|298546141093|0,"LEGO Star Wars III: The Clone Wars (Nintendo 3DS, 2011) NEW & SEALED SEE PICS",Brand New,Video Games; Video Games & Consoles,139973; 1249,skootzz,3DS,LEGO Star Wars III: The Clone Wars,NTSC-U/C (US/Canada); Japan,,,Challenging new missions inspired by the sci-fi high adventure of the animated series Access never-before playable weapons and vehicles; unlock classic Star Wars characters Use new light saber abilities to cut and climb your w,2011,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8e06291b-9fc1-46d4-9d02-8803f6e57109,f07ac9ae-f973-403e-9e6b-f8fce4fa1537,d3cf4df6-75ba-42a9-9171-f81ab4baee24
25,17a777b6-c163-428f-a39e-93b73dc64dd5,2026-08-01T03:15:32.514013+00:00,sales_velocity_too_low,,B00C3MKAJ4,Worms Collection - Xbox 360,,v1|317822725240|0,Worms Collection (Microsoft Xbox 360) NEW SEALED,Brand New,Video Games; Video Games & Consoles,139973; 1249,dacar_8750,Xbox 360,Worms Collection,NTSC-U/C (US/Canada),,,Multiplayer,2012,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,e1aa44f1-6a16-44e6-a127-55442d4322af,3a57a929-8424-4a19-93ca-016cd9f8c2d4,bcdd0d2c-4c13-4305-8477-2a898b991db1
26,3ce09d4c-6f69-417d-b129-76c72e0ab0a2,2026-08-01T03:15:31.926204+00:00,sales_velocity_too_low,,B00C3MKAJ4,Worms Collection - Xbox 360,,v1|147323203675|0,"Worms Collection (Microsoft Xbox 360, 2013) BRAND NEW SEALED",Brand New,Video Games; Video Games & Consoles,139973; 1249,luckyrabb1t,Xbox 360,Worms Collection,NTSC-U/C (US/Canada); United States,,,,2013,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,5201c6c3-302d-432a-ae95-5b01442e7ea8,b14d70a4-7f57-4144-a591-997787bfb8e6,23d8a413-e735-4e87-bb79-5d9cc66bb462
27,8a036781-73ce-4216-9396-d4d7a8b1a0e6,2026-08-01T03:14:32.699861+00:00,wrong_edition_version,,B0050SYZS0,Mass Effect 3 Collector's Edition -Xbox 360,,v1|127712551568|0,Mass Effect 3 Collector's Edition Xbox 360,Brand New,Video Games; Video Games & Consoles,139973; 1249,monicasieben77,Xbox 360,Mass Effect 3,NTSC-U/C (US/Canada),,,Collector's Edition,2012,Probable Match,Probable Match,,,base game vs collector's edition,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,454256dc-d9ee-430b-9732-8a26ebbaf004,b8fb68b1-69bf-48b1-9b59-29f2312089d0,e20c0e2e-965b-45db-826c-67e7fdcda75c
28,96739bda-aa04-4d69-a13b-95c90b839d3b,2026-08-01T03:13:55.546014+00:00,packaging_damage,,B0050SVFWE,DanceDanceRevolution II Bundle,,v1|387201290916|0,Dance Dance Revolution II Nintendo Wii Bundle with Pad Mat In Box Factory Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,lovel-3092,Wii,Dance Dance Revolution II,NTSC-U/C (US/Canada); United States,,,"Manual Included, Wii Motion Plus Compatible",2009,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,e3144977-440d-48b8-be1a-9e9541c17b67,de3a0b85-559d-4437-b148-fd1dafd7431d,b3361c86-66c5-4ad7-9932-ce7d3dd2de21
29,b785e190-eef6-4aaa-b16b-2d6fa7ffac3b,2026-08-01T03:13:29.877836+00:00,incomplete_product,,B0050SVFWE,DanceDanceRevolution II Bundle,,v1|366501417444|0,Dancedancerevolution II Bundle - Nintendo Wii,Brand New,Video Games; Video Games & Consoles,139973; 1249,steci14,Wii,Dancedancerevolution II Bundle,,,,,,Probable Match,Probable Match,,,incomplete_product,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,cc780ddb-f344-47e7-9f8a-bd339439f26b,d4506361-16e2-4cea-83bd-80f85bbf7076,c05e99f4-494b-4290-983b-08ba2ae042b9
30,77735b46-b0f6-45a7-a598-2483f8414022,2026-08-01T03:10:22.843188+00:00,missing_shrink_wrap,,B017L187YG,Overwatch - Origins Edition - PC,,v1|266606115450|0,Overwatch: Origins Edition DVD Game PC New Sealed & Bonus Note Pad,Brand New,Video Games; Video Games & Consoles,139973; 1249,masher_27,PC,"Overwatch: Origins Edition, Overwatch",United States,,,,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,ec8f490f-fe1a-439e-a8ef-d48eaf404d43,46750aff-9228-4f92-90ea-931cf065427f,f895dcd4-f47e-426b-82ce-f7b5c4185182
31,ce8659de-df7d-4cac-90d2-12e7c4f0dd03,2026-08-01T03:10:22.281454+00:00,missing_shrink_wrap,,B017L187YG,Overwatch - Origins Edition - PC,,v1|287422530980|0,Blizzard Overwatch: Origins Edition Shooter Game DVD for PC 2016 SEALED NEW,Brand New,Video Games; Video Games & Consoles,139973; 1249,debrachrls2009,PC,Overwatch: Origins Edition,NTSC-U/C (US/Canada),,,Game DVD,2016,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,43065b00-9487-403d-9007-3dff836008bd,5bd27146-63a6-4c8b-8f66-09e1b881a1b4,b6b69396-d1f6-424f-b303-1c7401e52629
32,541ceeac-ff9a-471a-a4a5-244a0237ed6d,2026-08-01T00:28:37.994705+00:00,wrong_edition_version,,B003QP725W,Sesame Street: Elmo's A-to-Zoo Adventure - Nintendo Wii,,v1|198522154661|0,Sesame Street Elmo's A-to-Zoo Adventure Game NIB w/ Remote Cover Nintendo Wii,Brand New,Video Games; Video Games & Consoles,139973; 1249,bubble-dog,Wii,Sesame Street: Elmo's A-to-Zoo Adventure,United States,,,,2010,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,24192127-b4a7-4710-9595-29850c771942,86323a25-4a2f-494b-bfea-979c47881ca8,9937375e-5ce9-4ef7-af05-e3ea0238bdfd
33,3baf72cd-3fff-4630-9492-66e51e97ed4f,2026-08-01T00:28:37.624044+00:00,wrong_edition_version,,B003RSFQII,Rock Band 3,,v1|146947732780|0,"NEW WII LOT Of 3 SEALED Rock Band Track Pack 2 Hannah Montana, Thrillville",Brand New,Video Games; Video Games & Consoles,139973; 1249,therecyclingbin,Wii,Game,NTSC-U/C (US/Canada),,,Manual Included,,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,64ef5937-00ad-4f72-a14d-db9f6ef874bf,aa8ce834-825c-4172-bdad-b4927997fcd6,a0692b8f-f225-4790-9b03-990c7fd7a92b
34,367bb42b-cddd-4d32-b93d-d42f0e9f2781,2026-08-01T00:28:37.213045+00:00,wrong_edition_version,,B07XV4NHHN,Ring Fit Adventure - Nintendo Switch,,v1|358862881678|0,Ring Fit Adventure Nintendo Switch Exercise Fitness Game Only Cartridge and Case,Brand New,Video Games; Video Games & Consoles,139973; 1249,nicolema-64,Switch,Ring FIT Adventure,Region Free,,,Online Playability,2019,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,e7aa22f1-f2c7-47f2-825c-386210ab832f,cd925c0e-ece0-47df-8177-1521d3c1c2f6,088cfdab-36bf-427d-b9af-d482c30d7ade
35,8267c981-5f22-4da5-87b3-dfe9e01818ce,2026-08-01T00:28:36.6782+00:00,wrong_edition_version,,B0D3P668DV,Madden NFL 25 - PlayStation 4 [video game],,v1|278095426011|0,Madden NFL 25 - Sony PlayStation 4 Video Game - 2013 - New/Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,beamthrift,PS 4,Madden NFL 25,United States,,,,2013,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,f261be36-b649-4b0b-875d-294edb6224c1,b8176be0-2098-4c48-bdab-562e575fb5a1,c0db4b38-575d-4e2a-b686-836f47e45ec1
36,14d43315-f3cd-4eba-a263-0e35cb583f8a,2026-07-31T03:30:08.885861+00:00,missing_shrink_wrap,,B08F3CXZJQ,Minecraft Dungeons Hero Edition - Nintendo Switch [video game],,v1|287487472106|0,Mojang Minecraft Dungeons Hero Edition Complete Edition - Nintendo Switch,Brand New,Video Games; Video Games & Consoles,139973; 1249,da-955016,Switch,Minecraft Dungeons Hero Edition,,,,Complete Edition,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,cad0774f-a351-453d-8281-47594b483df5,09b6a05b-5a8e-476a-9eca-c47a8e7b4178,216c9515-c7fc-4579-a241-dab48f41b6b6
37,000ca88e-24b2-40d1-8bfd-1dad39a589c9,2026-07-31T03:27:11.050145+00:00,missing_shrink_wrap,,B0002CHIUQ,Ace Combat 5: The Unsung War [video game],,v1|325549212265|0,"Ace Combat 5: The Unsung War (Sony PlayStation 2, 2004)",Brand New,Video Games; Video Games & Consoles,139973; 1249,bfish213,PS 2,Ace Combat 5: The Unsung War,,,,,2004,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,34f35fa5-dedc-432d-bff8-60b21a187a7a,020e9e4f-53a1-450b-a65b-7de5e380d4e3,3b24064a-9f31-4cbe-93a8-90eec92c7653
38,e5ac132d-31ca-467d-aee5-4dccd7e3aa65,2026-07-31T03:16:19.911287+00:00,sales_velocity_too_low,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|127999201076|0,Assassin's Creed: Brotherhood factory sealed Xbox 360 ~,Brand New,Video Games; Video Games & Consoles,139973; 1249,video_games_galore,Xbox 360,Assassin's Creed: Brotherhood,,,,Explore the bustling areas of Rome in a single-player campaign spanning an estimated 15 hours in length Features a new class-based multiplayer component offering an assortment of game types Includes the following classes: exec,,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,d71c7b8c-f81d-498d-b06a-dfd14311fed9,1895c339-46ce-45c7-b1e6-7e04199bcc47,2f524484-a940-4e7f-be3c-0ef3e4ab3cf7
